Orthogroup	homSap.longCDS.prots	ailMel.longCDS.prots
OG0002008	ENST00000264198.4	rna-XM_034645565.1, rna-XM_034652865.1
OG0002009	ENST00000415136.6	rna-XM_034652460.1, rna-XM_011235918.3
OG0002010	ENST00000312239.9	rna-XM_034652550.1, rna-XM_002928096.4
OG0002011	ENST00000344642.6	rna-XM_034644992.1, rna-XM_019799964.2
OG0002012	ENST00000337107.10, ENST00000290122.7	rna-XM_034646012.1
OG0002013	ENST00000400259.5	rna-XM_011225376.3
OG0002014	ENST00000374642.7	rna-XM_002919526.4
OG0002015	ENST00000374640.8	rna-XM_034652053.1, rna-XM_002919528.4
OG0002016	ENST00000327535.5	rna-XM_019803318.2
OG0002017	ENST00000342055.9, ENST00000294413.11	rna-XM_002913288.4
OG0002018	ENST00000361547.6, ENST00000527604.1	rna-XM_034646946.1
OG0002019	ENST00000270792.9	rna-XM_002913302.4, rna-XM_034651225.1
OG0002020	ENST00000373836.4	rna-XM_034647719.1
OG0002021	ENST00000343067.8	rna-XM_034647927.1
OG0002022	ENST00000373736.6, ENST00000523211.5	rna-XM_034648181.1
OG0002023	ENST00000327300.11	rna-XM_002921870.4, rna-XM_034652071.1
OG0002024	ENST00000609129.1, ENST00000480336.1	rna-XM_011228269.3, rna-XM_034648538.1
OG0002025	ENST00000354858.10	rna-XM_034651618.1, rna-XM_011228257.3
OG0002026	ENST00000291416.9	rna-XM_034648727.1, rna-XM_034648728.1
OG0002027	ENST00000357182.8, ENST00000487874.1	rna-XM_011222231.3
OG0002028	ENST00000357214.5	rna-XM_034651553.1, rna-XM_034645190.1
OG0002029	ENST00000356637.9	rna-XM_002925159.4
OG0002030	ENST00000427468.6	rna-XM_034645221.1, rna-XM_034645215.1
OG0002031	ENST00000373019.4	rna-XM_034652243.1, rna-XM_002923893.4
OG0002032	ENST00000331593.5, ENST00000372827.7	rna-XM_034649840.1
OG0002033	ENST00000372797.7	rna-XM_034651100.1, rna-XM_034649974.1
OG0002034	ENST00000433473.7	rna-XM_034652559.1, rna-XM_002927559.4
OG0002035	ENST00000428554.6	rna-XM_034650427.1
OG0002036	ENST00000603943.5	rna-XM_002929417.4
OG0002038	ENST00000532642.5	rna-XM_034651505.1, rna-XM_002925550.4
OG0002039	ENST00000372086.3	rna-XM_034652558.1, rna-XM_002919448.2
OG0002040	ENST00000372003.5	rna-XM_034651127.1, rna-XM_002919458.4
OG0002041	ENST00000442598.5	rna-XM_034653212.1, rna-XM_011225309.3
OG0002042	ENST00000243167.8, ENST00000374900.4	rna-XM_034651873.1
OG0002043	ENST00000447887.5	rna-XM_034652350.1, rna-XM_034652487.1
OG0002044	ENST00000313334.12	rna-XM_002915725.4, rna-XM_034651622.1
OG0002045	ENST00000371514.7	rna-XM_011220396.3, rna-XM_034651987.1
OG0002046	ENST00000620347.4	rna-XM_034651298.1, rna-XM_011220390.3
OG0002047	ENST00000628545.1	rna-XM_034641266.1, rna-XM_034652939.1
OG0002048	ENST00000361921.7	rna-XM_034653005.1, rna-XM_034652963.1
OG0002049	ENST00000371378.6	rna-XM_034652978.1
OG0002050	ENST00000534324.5, ENST00000637610.1	rna-XM_002915749.4
OG0002051	ENST00000421030.6, ENST00000414150.6	rna-XM_002915751.4
OG0002052	ENST00000371279.3	rna-XM_011220412.3
OG0002053	ENST00000371265.4	rna-XM_034653227.1
OG0002054	ENST00000370995.6	rna-XM_034653300.1, rna-XM_011228349.3
OG0002055	ENST00000326637.7, ENST00000557284.6	rna-XM_019797164.2
OG0002056	ENST00000370834.9	rna-XM_034652820.1, rna-XM_019797170.2
OG0002057	ENST00000354567.6	rna-XM_002922313.4, rna-XM_034651518.1
OG0002058	ENST00000370645.8	rna-XM_019793922.2
OG0002059	ENST00000342203.7	rna-XM_034653799.1
OG0002060	ENST00000451137.6	rna-XM_034650808.1, rna-XM_002919389.4
OG0002061	ENST00000616170.4	rna-XM_034653818.1, rna-XM_034651498.1
OG0002062	ENST00000370550.9, ENST00000370548.3	rna-XM_011222976.3
OG0002063	ENST00000544844.5	rna-XM_002916665.4, rna-XM_034641470.1
OG0002064	ENST00000370454.8, ENST00000370453.5	rna-XM_034653852.1
OG0002065	ENST00000370214.8	rna-XM_034653939.1
OG0002066	ENST00000370203.8, ENST00000604534.5	rna-XM_019795123.2
OG0002067	ENST00000370001.7, ENST00000357393.5	rna-XM_034654014.1
OG0002068	ENST00000406462.6	rna-XM_011224955.3
OG0002069	ENST00000357155.1	rna-XM_034652472.1, rna-XM_019799632.2
OG0002070	ENST00000256644.8	rna-XM_034652787.1, rna-XM_002928300.4
OG0002071	ENST00000369732.3	rna-XM_034652952.1, rna-XM_034641692.1
OG0002072	ENST00000359785.9	rna-XM_002918245.4
OG0002073	ENST00000543831.5, ENST00000369413.7	rna-XM_011236259.3
OG0002074	ENST00000369406.7	rna-XM_034654186.1, rna-XM_034654187.1
OG0002075	ENST00000313835.13, ENST00000314163.11	rna-XM_034642937.1
OG0002076	ENST00000583313.6	rna-XM_034651621.1, rna-XM_002924563.4
OG0002077	ENST00000369168.4, ENST00000369384.8	rna-XM_011217915.3
OG0002078	ENST00000369109.7	rna-XM_002919313.4, rna-XM_034651473.1
OG0002079	ENST00000369016.8	rna-XM_002919362.4
OG0002080	ENST00000368881.8	rna-XM_034651732.1, rna-XM_034654258.1
OG0002081	ENST00000368811.7	rna-XM_034651609.1, rna-XM_034654309.1
OG0002082	ENST00000307098.4, ENST00000368762.1	rna-XM_002931005.4
OG0002083	ENST00000409947.5	rna-XM_034654357.1
OG0002084	ENST00000285814.8	rna-XM_034651976.1, rna-XM_002921768.4
OG0002085	ENST00000272638.13	rna-XM_034654489.1
OG0002086	ENST00000539935.6	rna-XM_034654569.1
OG0002087	ENST00000397283.6	rna-XM_034652826.1, rna-XM_002923804.4
OG0002088	ENST00000628904.2	rna-XM_034654600.1
OG0002089	ENST00000329913.3	rna-XM_034642157.1, rna-XM_002929202.4
OG0002090	ENST00000360534.7	rna-XM_034650834.1, rna-XM_011231867.3
OG0002091	ENST00000437150.6	rna-XM_034652270.1, rna-XM_002924864.4
OG0002092	ENST00000295240.7, ENST00000513963.1	rna-XM_011221378.3
OG0002093	ENST00000409176.6	rna-XM_034654751.1
OG0002094	ENST00000249499.7, ENST00000470747.4	rna-XM_034654776.1
OG0002095	ENST00000339098.9	rna-XM_019802801.2
OG0002096	ENST00000295108.3	rna-XM_034652937.1, rna-XM_034652356.1, rna-XM_002922273.3
OG0002097	ENST00000261024.6	rna-XM_002918668.4
OG0002098	ENST00000392350.7	rna-XM_034654852.1, rna-XM_034638166.1
OG0002099	ENST00000323303.8	rna-XM_002920022.4
OG0002100	ENST00000359878.7	rna-XM_034654922.1
OG0002101	ENST00000236957.9	rna-XM_034651970.1, rna-XM_011226550.3
OG0002102	ENST00000352451.3	rna-XM_002922354.4, rna-XM_034652359.1, rna-XM_034652597.1
OG0002103	ENST00000354785.8	rna-XM_034651787.1, rna-XM_034655130.1
OG0002104	ENST00000315717.9	rna-XM_034655160.1
OG0002105	ENST00000295731.6	rna-XM_002913694.4
OG0002106	ENST00000318673.6, ENST00000455516.6	rna-XM_034655194.1
OG0002108	ENST00000336576.9	rna-XM_034652658.1, rna-XM_034655230.1
OG0002109	ENST00000521688.5	rna-XM_002918706.4, rna-XM_034644559.1
OG0002110	ENST00000446656.3	rna-XM_034646009.1, rna-XM_034655259.1
OG0002111	ENST00000295190.8	rna-XM_034655330.1
OG0002112	ENST00000415673.6, ENST00000392045.7	rna-XM_019797738.2
OG0002113	ENST00000340126.8	rna-XM_034655339.1
OG0002114	ENST00000326427.10	rna-XM_034651677.1, rna-XM_034642635.1
OG0002115	ENST00000411486.6	rna-XM_034655441.1
OG0002116	ENST00000392011.6	rna-XM_034655444.1, rna-XM_034652778.1
OG0002117	ENST00000295550.8	rna-XM_019806941.2
OG0002118	ENST00000316997.8	rna-XM_034655494.1, rna-XM_034653113.1
OG0002119	ENST00000272930.8, ENST00000449191.1	rna-XM_019806944.2
OG0002120	ENST00000307300.8	rna-XM_034651483.1, rna-XM_034655537.1
OG0002121	ENST00000407834.3, ENST00000429564.1	rna-XM_019803686.2
OG0002122	ENST00000391975.5	rna-XM_034650847.1, rna-XM_034655593.1
OG0002123	ENST00000400314.5	rna-XM_034654275.1, rna-XM_034650977.1
OG0002124	ENST00000562212.5	rna-XM_034651928.1, rna-XM_034668032.1
OG0002125	ENST00000417912.6	rna-XM_011231961.3, rna-XM_034653199.1
OG0002126	ENST00000423113.5	rna-XM_034643422.1, rna-XM_034652348.1
OG0002127	ENST00000390015.7	rna-XM_034653173.1, rna-XM_034640095.1
OG0002128	ENST00000296509.10	rna-XM_034650217.1, rna-XM_011229701.3
OG0002129	ENST00000600377.1	rna-XM_034658103.1, rna-XM_034653369.1
OG0002130	ENST00000321582.9	rna-XM_034663724.1, rna-XM_034653060.1
OG0002131	ENST00000520552.5	rna-XM_034651547.1, rna-XM_002913981.4
OG0002132	ENST00000382477.6	rna-XM_034653122.1, rna-XM_034652824.1
OG0002133	ENST00000295633.7	rna-XM_034652328.1, rna-XM_002915252.4
OG0002134	ENST00000237530.10	rna-XM_034651884.1, rna-XM_002915156.4
OG0002135	ENST00000358901.10	rna-XM_034650779.1, rna-XM_002929187.4
OG0002136	ENST00000311268.7	rna-XM_034645925.1, rna-XM_034652922.1
OG0002138	ENST00000300738.9	rna-XM_002931092.4, rna-XM_034650066.1
OG0002139	ENST00000540096.2, ENST00000248211.10	rna-XM_034637834.1
OG0002140	ENST00000537262.1, ENST00000428960.3	rna-XM_034638574.1
OG0002141	ENST00000238156.7	rna-XM_034651360.1, rna-XM_034638960.1
OG0002142	ENST00000280557.10	rna-XM_002913090.4
OG0002143	ENST00000328880.5, ENST00000528880.2	rna-XM_002913130.4
OG0002144	ENST00000267199.8, ENST00000535844.1	rna-XM_002913084.4
OG0002145	ENST00000538010.5	rna-XM_034637952.1
OG0002146	ENST00000541212.5, ENST00000546333.1	rna-XM_034672334.1
OG0002147	ENST00000620084.4	rna-XM_034652126.1, rna-XM_011225905.3
OG0002148	ENST00000445409.6	rna-XM_019800080.2, rna-XM_002925243.4
OG0002149	ENST00000257549.8	rna-XM_034651474.1, rna-XM_011232413.3
OG0002150	ENST00000335209.11	rna-XM_034637978.1, rna-XM_034651233.1
OG0002151	ENST00000397558.6	rna-XM_034638938.1, rna-XM_034669992.1
OG0002152	ENST00000551806.1, ENST00000551765.5	rna-XM_034639355.1
OG0002153	ENST00000288532.10	rna-XM_034652138.1, rna-XM_002930395.4
OG0002154	ENST00000318348.8	rna-XM_034637896.1, rna-XM_034650303.1
OG0002155	ENST00000406955.5	rna-XM_019795661.2
OG0002156	ENST00000266263.9, ENST00000439838.5	rna-XM_034638126.1
OG0002157	ENST00000405659.5	rna-XM_034639704.1
OG0002158	ENST00000434291.5, ENST00000407689.7	rna-XM_034638867.1
OG0002159	ENST00000616432.4	rna-XM_034638201.1
OG0002160	ENST00000216085.11	rna-XM_019795692.2, rna-XM_034656941.1
OG0002161	ENST00000611155.4	rna-XM_034638163.1, rna-XM_034652491.1
OG0002163	ENST00000591325.1, ENST00000621650.1	rna-XM_011234611.3
OG0002165	ENST00000321039.4	rna-XM_034638043.1, rna-XM_034638056.1
OG0002166	ENST00000196489.3, ENST00000597850.1	rna-XM_034639337.1
OG0002167	ENST00000424930.6, ENST00000282292.8	rna-XM_011231683.3
OG0002168	ENST00000343280.8	rna-XM_011231678.3
OG0002170	ENST00000301318.7	rna-XM_019792535.2
OG0002171	ENST00000411543.6	rna-XM_034650385.1, rna-XM_034638082.1
OG0002172	ENST00000587871.1, ENST00000527223.6	rna-XM_019807138.2
OG0002173	ENST00000310373.7	rna-XM_034651791.1, rna-XM_034638095.1
OG0002174	ENST00000391742.6, ENST00000301202.6	rna-XM_034672606.1
OG0002175	ENST00000432233.7	rna-XM_034672601.1, rna-XM_034638105.1
OG0002177	ENST00000327428.9	rna-XM_034639190.1, rna-XM_034659377.1
OG0002178	ENST00000341702.3	rna-XM_002927586.2, rna-XM_011235187.1
OG0002179	ENST00000447370.6, ENST00000451973.1, ENST00000339313.9	rna-XM_034639075.1
OG0002180	ENST00000600067.1	rna-XM_034639182.1
OG0002181	ENST00000250366.6, ENST00000594211.1	rna-XM_034639170.1
OG0002182	ENST00000595883.5, ENST00000599632.1	rna-XM_034639157.1
OG0002183	ENST00000601291.5	rna-XM_034638700.1
OG0002184	ENST00000599536.1, ENST00000293350.8	rna-XM_002917842.3
OG0002185	ENST00000598441.5	rna-XM_034650758.1, rna-XM_034672361.1
OG0002186	ENST00000599795.5, ENST00000593537.1	rna-XM_002917853.4
OG0002187	ENST00000222002.3, ENST00000201586.6	rna-XM_002917872.4
OG0002188	ENST00000221996.11, ENST00000334384.3	rna-XM_002917882.2
OG0002189	ENST00000270225.11	rna-XM_034652570.1, rna-XM_034638991.1
OG0002190	ENST00000253047.6	rna-XM_034651247.1, rna-XM_011229684.3
OG0002191	ENST00000602212.5	rna-XM_034638528.1
OG0002192	ENST00000414155.5, ENST00000012443.8	rna-XM_002923052.4
OG0002193	ENST00000593999.1, ENST00000270223.6	rna-XM_034638998.1
OG0002194	ENST00000391945.8	rna-XM_034653158.1, rna-XM_034638473.1
OG0002195	ENST00000262891.8	rna-XM_034639001.1
OG0002196	ENST00000589057.5, ENST00000252490.5	rna-XM_011231075.3
OG0002197	ENST00000592885.5	rna-XM_011231076.3
OG0002198	ENST00000405636.6	rna-XM_034652936.1, rna-XM_034638142.1
OG0002199	ENST00000252483.9	rna-XM_034650394.1, rna-XM_002924235.4
OG0002200	ENST00000337401.8, ENST00000588212.1	rna-XM_011231088.3
OG0002202	ENST00000587539.1	rna-XM_034639258.1
OG0002203	ENST00000595337.5	rna-XM_034651055.1, rna-XM_034672764.1
OG0002204	ENST00000262887.9, ENST00000594374.1	rna-XM_034639435.1
OG0002205	ENST00000540732.3, ENST00000457836.6	rna-XM_034639683.1
OG0002206	ENST00000600729.1, ENST00000594436.5	rna-XM_034638646.1
OG0002207	ENST00000617676.4, ENST00000455521.5, ENST00000592533.5	rna-XM_019804311.2
OG0002208	ENST00000331982.5, ENST00000613087.4	rna-XM_002927388.4
OG0002209	ENST00000599996.1, ENST00000600042.5	rna-XM_034638924.1
OG0002210	ENST00000594769.5, ENST00000221419.9	rna-XM_034672711.1
OG0002211	ENST00000215071.8	rna-XM_034651715.1, rna-XM_002925843.4
OG0002212	ENST00000324411.8	rna-XM_034638435.1
OG0002213	ENST00000328550.6	rna-XM_034638303.1
OG0002214	ENST00000392170.6	rna-XM_034639018.1
OG0002215	ENST00000379026.6	rna-XM_034638414.1
OG0002216	ENST00000222284.9	rna-XM_002920917.3
OG0002217	ENST00000599180.2	rna-XM_019801450.2, rna-XM_034650398.1
OG0002218	ENST00000327809.4, ENST00000454971.2	rna-XM_019801403.2
OG0002219	ENST00000392213.7	rna-XM_019801428.2
OG0002220	ENST00000392232.7, ENST00000627982.2	rna-XM_019793803.2
OG0002221	ENST00000246535.3, ENST00000592740.5	rna-XM_002925187.4
OG0002222	ENST00000244137.11	rna-XM_034672751.1, rna-XM_034652515.1
OG0002223	ENST00000355537.3	rna-XM_034638014.1
OG0002224	ENST00000392278.2	rna-XM_034638113.1
OG0002225	ENST00000304863.5	rna-XM_034651445.1, rna-XM_011229881.3
OG0002226	ENST00000565112.1	rna-XM_002930761.4
OG0002227	ENST00000561648.5	rna-XM_019794103.2
OG0002228	ENST00000299192.7	rna-XM_034672657.1
OG0002229	ENST00000300245.8	rna-XM_034651340.1, rna-XM_002912238.4
OG0002230	ENST00000219207.9	rna-XM_034637951.1
OG0002231	ENST00000394391.8	rna-XM_002912264.4
OG0002232	ENST00000251102.12	rna-XM_034651709.1, rna-XM_034639313.1
OG0002233	ENST00000262498.7	rna-XM_002912273.4, rna-XM_034650860.1
OG0002234	ENST00000245206.9	rna-XM_034651971.1, rna-XM_002912279.4
OG0002235	ENST00000451102.6, ENST00000561728.1	rna-XM_034638773.1
OG0002236	ENST00000258200.7, ENST00000580114.5	rna-XM_002918408.4
OG0002237	ENST00000393992.5	rna-XM_019798815.2, rna-XM_019798853.2
OG0002238	ENST00000326152.5	rna-XM_034639033.1
OG0002239	ENST00000358514.8, ENST00000573493.1	rna-XM_002918433.4
OG0002240	ENST00000574912.1	rna-XM_034650552.1, rna-XM_034639034.1
OG0002241	ENST00000565263.5	rna-XM_034639035.1, rna-XM_034638496.1
OG0002242	ENST00000288025.3, ENST00000564737.1	rna-XM_002923201.4
OG0002243	ENST00000627621.2	rna-XM_002923652.4
OG0002244	ENST00000268482.7	rna-XM_019804179.2, rna-XM_034653046.1
OG0002245	ENST00000357763.8, ENST00000540303.6	rna-XM_002923602.4
OG0002247	ENST00000567194.5, ENST00000561878.1	rna-XM_011235399.3
OG0002248	ENST00000568377.5, ENST00000460606.1	rna-XM_002927722.4
OG0002249	ENST00000037243.6	rna-XM_034652114.1, rna-XM_002927721.4
OG0002250	ENST00000570195.5	rna-XM_034639417.1
OG0002251	ENST00000262430.5, ENST00000561562.5	rna-XM_011232174.2
OG0002252	ENST00000305202.8	rna-XM_034639043.1, rna-XM_034651773.1
OG0002253	ENST00000268638.9	rna-XM_034639044.1
OG0002254	ENST00000568879.1, ENST00000567970.1	rna-XM_034672506.1
OG0002255	ENST00000269143.7	rna-XM_034672740.1, rna-XM_034643152.1
OG0002257	ENST00000296682.3, ENST00000449207.6	rna-XM_019807569.2
OG0002258	ENST00000218388.8	rna-XM_034652719.1, rna-XM_002917776.4
OG0002259	ENST00000400522.8	rna-XM_034640131.1, rna-XM_034653141.1
OG0002260	ENST00000295897.8	rna-XM_034651892.1, rna-XM_002928492.4
OG0002261	ENST00000445895.2	rna-XM_034644924.1, rna-XM_034653106.1
OG0002262	ENST00000255688.7	rna-XM_034651807.1, rna-XM_034651821.1
OG0002263	ENST00000610854.1	rna-XM_034661248.1, rna-XM_034652609.1
OG0002264	ENST00000381883.3	rna-XM_011231201.3, rna-XM_034652957.1
OG0002265	ENST00000267205.6	rna-XM_002913121.4
OG0002266	ENST00000491431.1	rna-XM_034639073.1, rna-XM_034653187.1
OG0002267	ENST00000512478.2	rna-XM_034651573.1, rna-XM_002916934.4
OG0002268	ENST00000336812.4	rna-XM_034652108.1, rna-XM_034670961.1
OG0002269	ENST00000474315.5	rna-XM_034652268.1, rna-XM_002918783.4
OG0002270	ENST00000375499.7	rna-XM_034652214.1, rna-XM_002924016.4
OG0002271	ENST00000023939.8	rna-XM_034651375.1, rna-XM_002921208.4
OG0002272	ENST00000296503.9	rna-XM_002912667.4, rna-XM_034652528.1
OG0002273	ENST00000379245.8	rna-XM_034653366.1, rna-XM_034657292.1
OG0002274	ENST00000399012.6_PAR_Y, ENST00000399012.6	rna-XM_002928758.4
OG0002275	ENST00000381566.6_PAR_Y, ENST00000381566.6	rna-XM_034649792.1
OG0002276	ENST00000417535.7_PAR_Y, ENST00000417535.7	rna-XM_034649749.1
OG0002277	ENST00000381317.8, ENST00000381317.8_PAR_Y	rna-XM_034649879.1
OG0002278	ENST00000381241.8_PAR_Y, ENST00000381241.8, ENST00000382764.1	rna-XM_034649676.1
OG0002279	ENST00000334651.10_PAR_Y, ENST00000334651.10	rna-XM_011226972.3
OG0002280	ENST00000381222.8_PAR_Y, ENST00000381222.8	rna-XM_019801334.2
OG0002281	ENST00000449611.6, ENST00000449611.6_PAR_Y	rna-XM_034650000.1
OG0002282	ENST00000391338.2, ENST00000307771.7	rna-XM_034649892.1
OG0002283	ENST00000379270.4	rna-XM_002927540.4, rna-XM_034651614.1
OG0002284	ENST00000379226.8	rna-XM_011235122.3
OG0002286	ENST00000327877.9	rna-XM_019804672.2, rna-XM_034649780.1
OG0002287	ENST00000378045.4	rna-XM_034652030.1, rna-XM_002929799.4
OG0002288	ENST00000276062.8	rna-XM_011235023.3, rna-XM_034663697.1
OG0002289	ENST00000396965.5	rna-XM_034649173.1
OG0002290	ENST00000304355.9, ENST00000304270.5	rna-XM_002917792.4
OG0002291	ENST00000348411.2	rna-XM_019798096.2
OG0002292	ENST00000376227.3	rna-XM_019798066.2
OG0002293	ENST00000375053.6	rna-XM_034649439.1
OG0002294	ENST00000342972.2	rna-XM_002930931.4
OG0002295	ENST00000375859.3	rna-XM_034649025.1, rna-XM_002919610.4
OG0002296	ENST00000583666.2, ENST00000342206.10	rna-XM_019798327.2
OG0002297	ENST00000435029.5, ENST00000374403.3	rna-XM_034649094.1
OG0002298	ENST00000373988.5	rna-XM_011237043.3
OG0002299	ENST00000276079.12	rna-XM_034652890.1, rna-XM_011237047.3
OG0002300	ENST00000242310.4, ENST00000423759.5	rna-XM_034649841.1
OG0002301	ENST00000542739.2, ENST00000535490.2, ENST00000636096.2	rna-XM_034649028.1
OG0002302	ENST00000373517.3, ENST00000373518.1	rna-XM_011216929.3
OG0002303	ENST00000361470.3, ENST00000373359.3	rna-XM_002929168.4
OG0002304	ENST00000481445.1	rna-XM_002930510.4
OG0002305	ENST00000373200.4	rna-XM_002930034.3
OG0002306	ENST00000396355.5	rna-XM_034649645.1, rna-XM_034669569.1
OG0002307	ENST00000321217.4, ENST00000283891.5	rna-XM_034649031.1
OG0002308	ENST00000372695.5	rna-XM_002930764.4
OG0002309	ENST00000332431.4	rna-XM_002925933.4
OG0002310	ENST00000357242.9	rna-XM_002922588.4
OG0002311	ENST00000372129.3	rna-XM_034649036.1
OG0002312	ENST00000267291.6, ENST00000371442.3	rna-XM_002922562.4
OG0002313	ENST00000475092.3, ENST00000304661.5	rna-XM_019803101.2
OG0002314	ENST00000434753.7, ENST00000426466.2	rna-XM_034648731.1
OG0002315	ENST00000472091.1, ENST00000603053.1	rna-XM_034649049.1
OG0002316	ENST00000481105.5	rna-XM_019803449.2
OG0002317	ENST00000339249.4	rna-XM_034649476.1
OG0002319	ENST00000422081.6, ENST00000340855.10	rna-XM_002918727.4
OG0002320	ENST00000598963.2, ENST00000370416.4	rna-XM_034649057.1
OG0002321	ENST00000370406.7, ENST00000450602.6	rna-XM_002918729.4
OG0002322	ENST00000370396.6	rna-XM_034648811.1
OG0002323	ENST00000393700.7	rna-XM_011236738.3
OG0002324	ENST00000601016.5	rna-XM_034649834.1, rna-XM_034649832.1
OG0002325	ENST00000357360.4	rna-XM_034649065.1
OG0002326	ENST00000369620.6	rna-XM_034652885.1, rna-XM_034649601.1
OG0002327	ENST00000302805.7, ENST00000302805.7_PAR_Y	rna-XM_034648927.1
OG0002328	ENST00000262640.11_PAR_Y, ENST00000262640.11	rna-XM_002930693.4
OG0002329	ENST00000259486.10	rna-XM_034652545.1, rna-XM_002929524.4
OG0002330	ENST00000372622.7	rna-XM_002928046.4, rna-XM_034651965.1
OG0002332	ENST00000306011.4	rna-XM_034671051.1, rna-XM_002915284.2
OG0002333	ENST00000236826.7	rna-XM_034652786.1, rna-XM_002922023.4
OG0002334	ENST00000368026.10	rna-XM_034651653.1, rna-XM_002928750.4
OG0002335	ENST00000256495.3	rna-XM_034652659.1, rna-XM_034658678.1
OG0002336	ENST00000264553.5	rna-XM_034652747.1
OG0002336	ENST00000592860.2	rna-XM_034657350.1
OG0002337	ENST00000338128.12	rna-XM_034658082.1, rna-XM_034653216.1
OG0002338	ENST00000250495.9	rna-XM_034650997.1, rna-XM_002921067.4
OG0002339	ENST00000355413.8	rna-XM_011228052.3, rna-XM_034652423.1
OG0002340	ENST00000300060.6	rna-XM_034653147.1, rna-XM_002929928.4
OG0002341	ENST00000321765.9	rna-XM_002912325.4, rna-XM_034650751.1
OG0002342	ENST00000558401.5	rna-XM_034652190.1, rna-XM_002913169.4
OG0002343	ENST00000478300.5	rna-XM_002915439.4, rna-XM_034650636.1
OG0002344	ENST00000453386.6	rna-XM_034651385.1, rna-XM_011220303.2
OG0002345	ENST00000377034.8	rna-XM_019793039.2
OG0002346	ENST00000397766.3, ENST00000259883.3	rna-XM_019793024.2
OG0002347	ENST00000421553.6, ENST00000621053.1	rna-XM_002930190.4
OG0002348	ENST00000312541.9, ENST00000356709.8	rna-XM_019809262.2
OG0002349	ENST00000562221.1, ENST00000613507.4	rna-XM_034660249.1
OG0002350	ENST00000378491.8	rna-XM_034652308.1, rna-XM_019804365.2
OG0002351	ENST00000341776.6	rna-XM_034660296.1, rna-XM_034650482.1
OG0002352	ENST00000492094.6	rna-XM_034660197.1, rna-XM_034660198.1
OG0002353	ENST00000622188.4	rna-XM_034660367.1, rna-XM_034652571.1
OG0002354	ENST00000259808.8	rna-XM_034660395.1
OG0002355	ENST00000380739.5	rna-XM_034652174.1, rna-XM_019792864.2
OG0002356	ENST00000380773.8	rna-XM_034650604.1, rna-XM_034660416.1
OG0002357	ENST00000326756.3	rna-XM_034660421.1
OG0002358	ENST00000376656.8, ENST00000623385.3	rna-XM_034660433.1
OG0002359	ENST00000326195.12	rna-XM_034650690.1, rna-XM_011236777.3
OG0002360	ENST00000375885.8	rna-XM_019792829.2
OG0002361	ENST00000617558.2, ENST00000375864.4	rna-XM_002930015.4
OG0002362	ENST00000375832.4, ENST00000503322.1	rna-XM_011216711.3
OG0002363	ENST00000383418.8, ENST00000461287.1	rna-XM_019792830.2
OG0002364	ENST00000375789.6	rna-XM_034652672.1, rna-XM_011216705.3
OG0002365	ENST00000375784.7	rna-XM_034651909.1, rna-XM_002930018.4
OG0002366	ENST00000375703.7, ENST00000493662.6	rna-XM_034660483.1
OG0002367	ENST00000395728.7	rna-XM_011217901.3
OG0002368	ENST00000375425.9	rna-XM_034651662.1, rna-XM_002929630.4
OG0002369	ENST00000435363.6, ENST00000428956.6	rna-XM_002929633.4
OG0002370	ENST00000375244.7	rna-XM_034660499.1
OG0002371	ENST00000361568.6, ENST00000428388.6	rna-XM_019810341.2
OG0002372	ENST00000454136.7	rna-XM_011236076.2
OG0002373	ENST00000620123.4, ENST00000452392.2	rna-XM_011218580.3
OG0002374	ENST00000418107.2, ENST00000429234.1	rna-XM_019794233.2
OG0002375	ENST00000374675.7	rna-XM_034650865.1, rna-XM_011218572.3
OG0002377	ENST00000374017.3	rna-XM_002914302.4
OG0002378	ENST00000229769.2	rna-XM_034660593.1
OG0002379	ENST00000373699.5	rna-XM_002914285.4
OG0002380	ENST00000287152.11	rna-XM_034660658.1
OG0002381	ENST00000541638.5	rna-XM_034660684.1, rna-XM_034668078.1
OG0002382	ENST00000318443.9	rna-XM_034652061.1, rna-XM_002919700.3
OG0002383	ENST00000345330.8	rna-XM_034660694.1, rna-XM_034650655.1
OG0002384	ENST00000566304.5, ENST00000379915.4	rna-XM_034660708.1
OG0002385	ENST00000310673.3	rna-XM_034660765.1, rna-XM_034652124.1
OG0002386	ENST00000276914.6	rna-XM_034660824.1, rna-XM_034663962.1
OG0002387	ENST00000437723.1, ENST00000323544.4	rna-XM_034660820.1
OG0002388	ENST00000261520.8	rna-XM_002922960.4, rna-XM_034653119.1
OG0002389	ENST00000396060.6	rna-XM_034660903.1, rna-XM_034651613.1
OG0002390	ENST00000318063.9	rna-XM_034660917.1, rna-XM_034647539.1
OG0002391	ENST00000587652.5, ENST00000267853.9	rna-XM_034660921.1
OG0002392	ENST00000442196.7	rna-XM_034652884.1, rna-XM_019803463.2
OG0002393	ENST00000564163.5	rna-XM_034660959.1
OG0002394	ENST00000562684.5	rna-XM_011227824.3, rna-XM_019800682.2
OG0002395	ENST00000564080.1, ENST00000568606.5	rna-XM_002927896.4
OG0002396	ENST00000290894.12	rna-XM_034661030.1
OG0002397	ENST00000559390.5	rna-XM_034653089.1, rna-XM_034661032.1
OG0002398	ENST00000299957.10	rna-XM_034651960.1, rna-XM_002913170.4
OG0002399	ENST00000417761.2, ENST00000319327.6	rna-XM_019801637.2
OG0002400	ENST00000409960.6	rna-XM_011227291.3
