Orthogroup	homSap.longCDS.prots	ursAme.longCDS.prots
OG0001946	ENST00000555835.2	transcript_ENSUAMT00000010781, transcript_ENSUAMT00000003362
OG0001947	ENST00000611116.1	transcript_ENSUAMT00000032678, transcript_ENSUAMT00000012662
OG0001948	ENST00000561419.1, ENST00000530611.1, ENST00000261789.8	transcript_ENSUAMT00000035549
OG0001949	ENST00000549185.5, ENST00000310850.8	transcript_ENSUAMT00000026081
OG0001950	ENST00000442123.6	transcript_ENSUAMT00000004220, transcript_ENSUAMT00000024887, transcript_ENSUAMT00000024885
OG0001952	ENST00000257068.2, ENST00000509111.2, ENST00000307161.5	transcript_ENSUAMT00000018899
OG0001953	ENST00000334662.2	transcript_ENSUAMT00000034440
OG0001954	ENST00000291574.8	transcript_ENSUAMT00000027185
OG0001955	ENST00000300255.6	transcript_ENSUAMT00000015555, transcript_ENSUAMT00000026471
OG0001956	ENST00000285670.6	transcript_ENSUAMT00000037478
OG0001957	ENST00000446879.5, ENST00000442633.1	transcript_ENSUAMT00000002189, transcript_ENSUAMT00000041773
OG0001958	ENST00000361910.8	transcript_ENSUAMT00000008989
OG0001959	ENST00000312295.4	transcript_ENSUAMT00000016215, transcript_ENSUAMT00000000919, transcript_ENSUAMT00000041426
OG0001960	ENST00000395831.7	transcript_ENSUAMT00000005974, transcript_ENSUAMT00000005972
OG0001961	ENST00000223321.8, ENST00000442788.5	transcript_ENSUAMT00000003844, transcript_ENSUAMT00000037838
OG0001962	ENST00000401412.5	transcript_ENSUAMT00000036003
OG0001963	ENST00000372879.8	transcript_ENSUAMT00000032003, transcript_ENSUAMT00000010951
OG0001964	ENST00000457545.6, ENST00000359579.4, ENST00000285930.8	transcript_ENSUAMT00000005757
OG0001965	ENST00000478789.5, ENST00000329630.9	transcript_ENSUAMT00000033882
OG0001966	ENST00000461940.5	transcript_ENSUAMT00000005032, transcript_ENSUAMT00000007052, transcript_ENSUAMT00000034012
OG0001968	ENST00000523374.5, ENST00000344302.8	transcript_ENSUAMT00000041556
OG0001970	ENST00000373688.2	transcript_ENSUAMT00000000517
OG0001971	ENST00000570156.6	transcript_ENSUAMT00000019210
OG0001972	ENST00000296871.3	transcript_ENSUAMT00000009426, transcript_ENSUAMT00000009410
OG0001973	ENST00000439211.6, ENST00000314636.2	transcript_ENSUAMT00000026073, transcript_ENSUAMT00000026189
OG0001974	ENST00000306675.3	transcript_ENSUAMT00000022721
OG0001975	ENST00000446148.6	transcript_ENSUAMT00000034088, transcript_ENSUAMT00000034087
OG0001976	ENST00000296564.8	transcript_ENSUAMT00000011487, transcript_ENSUAMT00000034218
OG0001977	ENST00000469176.1	transcript_ENSUAMT00000019695, transcript_ENSUAMT00000030744
OG0001978	ENST00000377524.7	transcript_ENSUAMT00000037997
OG0001979	ENST00000326799.7	transcript_ENSUAMT00000004854
OG0001980	ENST00000639629.1	transcript_ENSUAMT00000017565
OG0001981	ENST00000295569.11	transcript_ENSUAMT00000000897
OG0001982	ENST00000258149.9	transcript_ENSUAMT00000026537, transcript_ENSUAMT00000030654, transcript_ENSUAMT00000030652
OG0001983	ENST00000318066.6, ENST00000618570.1	transcript_ENSUAMT00000037136, transcript_ENSUAMT00000017557
OG0001984	ENST00000547098.5	transcript_ENSUAMT00000015619, transcript_ENSUAMT00000028439, transcript_ENSUAMT00000037133
OG0001987	ENST00000390392.3, ENST00000390357.3, ENST00000390387.3	transcript_ENSUAMT00000026722
OG0001991	ENST00000390440.2	transcript_ENSUAMT00000006229, transcript_ENSUAMT00000006668
OG0001996	ENST00000267812.3	transcript_ENSUAMT00000036907
OG0001997	ENST00000337979.8	transcript_ENSUAMT00000013696
OG0001998	ENST00000320963.9	transcript_ENSUAMT00000021690
OG0001999	ENST00000293599.6	transcript_ENSUAMT00000007261
OG0002000	ENST00000371929.7	transcript_ENSUAMT00000026660
OG0002001	ENST00000553809.5	transcript_ENSUAMT00000034106
OG0002002	ENST00000240617.9	transcript_ENSUAMT00000030576
OG0002003	ENST00000525954.5	transcript_ENSUAMT00000010303
OG0002004	ENST00000494072.3, ENST00000455833.6	transcript_ENSUAMT00000040153
OG0002005	ENST00000449199.6, ENST00000375155.7	transcript_ENSUAMT00000041202
OG0002006	ENST00000602662.1, ENST00000289749.6	transcript_ENSUAMT00000027337
OG0002007	ENST00000375105.7	transcript_ENSUAMT00000016308
OG0002008	ENST00000264198.4	transcript_ENSUAMT00000016347
OG0002009	ENST00000415136.6	transcript_ENSUAMT00000016364
OG0002010	ENST00000312239.9	transcript_ENSUAMT00000004705
OG0002011	ENST00000344642.6	transcript_ENSUAMT00000010916
OG0002012	ENST00000337107.10, ENST00000290122.7	transcript_ENSUAMT00000029414
OG0002013	ENST00000400259.5	transcript_ENSUAMT00000031894, transcript_ENSUAMT00000029412
OG0002014	ENST00000374642.7	transcript_ENSUAMT00000029311
OG0002015	ENST00000374640.8	transcript_ENSUAMT00000029308
OG0002016	ENST00000327535.5	transcript_ENSUAMT00000031677, transcript_ENSUAMT00000002570
OG0002017	ENST00000342055.9, ENST00000294413.11	transcript_ENSUAMT00000037576
OG0002018	ENST00000361547.6, ENST00000527604.1	transcript_ENSUAMT00000037590
OG0002019	ENST00000270792.9	transcript_ENSUAMT00000009435
OG0002020	ENST00000373836.4	transcript_ENSUAMT00000029222, transcript_ENSUAMT00000012038
OG0002021	ENST00000343067.8	transcript_ENSUAMT00000003491, transcript_ENSUAMT00000007881
OG0002022	ENST00000373736.6, ENST00000523211.5	transcript_ENSUAMT00000026019
OG0002023	ENST00000327300.11	transcript_ENSUAMT00000012605
OG0002025	ENST00000354858.10	transcript_ENSUAMT00000021537
OG0002026	ENST00000291416.9	transcript_ENSUAMT00000021550
OG0002027	ENST00000357182.8, ENST00000487874.1	transcript_ENSUAMT00000034634
OG0002028	ENST00000357214.5	transcript_ENSUAMT00000039247
OG0002029	ENST00000356637.9	transcript_ENSUAMT00000029133, transcript_ENSUAMT00000036357
OG0002030	ENST00000427468.6	transcript_ENSUAMT00000019948
OG0002031	ENST00000373019.4	transcript_ENSUAMT00000007942
OG0002033	ENST00000372797.7	transcript_ENSUAMT00000030127
OG0002034	ENST00000433473.7	transcript_ENSUAMT00000030260
OG0002035	ENST00000428554.6	transcript_ENSUAMT00000011244, transcript_ENSUAMT00000011246
OG0002036	ENST00000372525.5	transcript_ENSUAMT00000000515
OG0002038	ENST00000532642.5	transcript_ENSUAMT00000038765
OG0002039	ENST00000372086.3	transcript_ENSUAMT00000025215
OG0002040	ENST00000372003.5	transcript_ENSUAMT00000016489
OG0002041	ENST00000442598.5	transcript_ENSUAMT00000016529
OG0002042	ENST00000243167.8, ENST00000374900.4	transcript_ENSUAMT00000004670
OG0002043	ENST00000447887.5	transcript_ENSUAMT00000026829
OG0002044	ENST00000313334.12	transcript_ENSUAMT00000038690
OG0002045	ENST00000371514.7	transcript_ENSUAMT00000022900
OG0002046	ENST00000620347.4	transcript_ENSUAMT00000022963
OG0002047	ENST00000628545.1	transcript_ENSUAMT00000023080
OG0002048	ENST00000361921.7	transcript_ENSUAMT00000024044
OG0002049	ENST00000454397.1	transcript_ENSUAMT00000024049
OG0002050	ENST00000534324.5, ENST00000637610.1	transcript_ENSUAMT00000027881
OG0002051	ENST00000421030.6, ENST00000414150.6	transcript_ENSUAMT00000018589
OG0002052	ENST00000371279.3	transcript_ENSUAMT00000015331, transcript_ENSUAMT00000004731
OG0002053	ENST00000371265.4	transcript_ENSUAMT00000025528
OG0002054	ENST00000370995.6	transcript_ENSUAMT00000030832
OG0002055	ENST00000326637.7, ENST00000557284.6	transcript_ENSUAMT00000015106
OG0002056	ENST00000370834.9	transcript_ENSUAMT00000017606
OG0002057	ENST00000354567.6	transcript_ENSUAMT00000018873
OG0002058	ENST00000370645.8	transcript_ENSUAMT00000022837, transcript_ENSUAMT00000001705
OG0002059	ENST00000342203.7	transcript_ENSUAMT00000009972, transcript_ENSUAMT00000009968
OG0002060	ENST00000451137.6	transcript_ENSUAMT00000025681
OG0002061	ENST00000616170.4	transcript_ENSUAMT00000005837
OG0002062	ENST00000370548.3	transcript_ENSUAMT00000026483
OG0002063	ENST00000544844.5	transcript_ENSUAMT00000026484
OG0002064	ENST00000370454.8, ENST00000370453.5	transcript_ENSUAMT00000016149
OG0002065	ENST00000370214.8	transcript_ENSUAMT00000031658
OG0002066	ENST00000370203.8, ENST00000604534.5	transcript_ENSUAMT00000013775
OG0002067	ENST00000370001.7, ENST00000357393.5	transcript_ENSUAMT00000015211
OG0002068	ENST00000406462.6	transcript_ENSUAMT00000015257
OG0002069	ENST00000357155.1	transcript_ENSUAMT00000031781
OG0002070	ENST00000256644.8	transcript_ENSUAMT00000024597
OG0002071	ENST00000369732.3	transcript_ENSUAMT00000020569
OG0002072	ENST00000359785.9	transcript_ENSUAMT00000026677, transcript_ENSUAMT00000026676
OG0002073	ENST00000543831.5, ENST00000369413.7	transcript_ENSUAMT00000036433
OG0002074	ENST00000369406.7	transcript_ENSUAMT00000036436
OG0002075	ENST00000313835.13, ENST00000314163.11	transcript_ENSUAMT00000032297
OG0002076	ENST00000583313.6	transcript_ENSUAMT00000031671
OG0002077	ENST00000369168.4, ENST00000369384.8	transcript_ENSUAMT00000032591
OG0002078	ENST00000369109.7	transcript_ENSUAMT00000012853
OG0002079	ENST00000369016.8	transcript_ENSUAMT00000002159, transcript_ENSUAMT00000020743
OG0002080	ENST00000368881.8	transcript_ENSUAMT00000040071
OG0002081	ENST00000368811.7	transcript_ENSUAMT00000001875
OG0002082	ENST00000307098.4, ENST00000368762.1	transcript_ENSUAMT00000026389
OG0002083	ENST00000409947.5	transcript_ENSUAMT00000013284, transcript_ENSUAMT00000009807
OG0002084	ENST00000285814.8	transcript_ENSUAMT00000031247
OG0002085	ENST00000272638.13	transcript_ENSUAMT00000037109, transcript_ENSUAMT00000024252
OG0002086	ENST00000637559.1, ENST00000539935.6	transcript_ENSUAMT00000005485
OG0002087	ENST00000397283.6	transcript_ENSUAMT00000005580
OG0002088	ENST00000628904.2	transcript_ENSUAMT00000002063, transcript_ENSUAMT00000005067
OG0002089	ENST00000329913.3	transcript_ENSUAMT00000016267
OG0002090	ENST00000360534.7	transcript_ENSUAMT00000022314
OG0002091	ENST00000437150.6	transcript_ENSUAMT00000023444
OG0002092	ENST00000295240.7, ENST00000513963.1	transcript_ENSUAMT00000027127
OG0002093	ENST00000409176.6	transcript_ENSUAMT00000035064
OG0002094	ENST00000249499.7, ENST00000470747.4	transcript_ENSUAMT00000037572
OG0002095	ENST00000339098.9	transcript_ENSUAMT00000028683, transcript_ENSUAMT00000014197
OG0002097	ENST00000261024.6	transcript_ENSUAMT00000015927
OG0002098	ENST00000392350.7	transcript_ENSUAMT00000015869
OG0002099	ENST00000604458.1, ENST00000323303.8	transcript_ENSUAMT00000041302
OG0002100	ENST00000359878.7	transcript_ENSUAMT00000020152, transcript_ENSUAMT00000020147
OG0002101	ENST00000236957.9	transcript_ENSUAMT00000038726
OG0002102	ENST00000352451.3	transcript_ENSUAMT00000011808
OG0002103	ENST00000354785.8	transcript_ENSUAMT00000036093
OG0002104	ENST00000315717.9	transcript_ENSUAMT00000000209, transcript_ENSUAMT00000007152
OG0002105	ENST00000295731.6	transcript_ENSUAMT00000031768, transcript_ENSUAMT00000033801
OG0002106	ENST00000318673.6, ENST00000455516.6	transcript_ENSUAMT00000009126
OG0002108	ENST00000336576.9	transcript_ENSUAMT00000012497
OG0002109	ENST00000521688.5	transcript_ENSUAMT00000006705
OG0002110	ENST00000446656.3	transcript_ENSUAMT00000023847
OG0002111	ENST00000295190.8	transcript_ENSUAMT00000017260, transcript_ENSUAMT00000001770
OG0002112	ENST00000415673.6, ENST00000392045.7	transcript_ENSUAMT00000026169
OG0002113	ENST00000340126.8	transcript_ENSUAMT00000015426, transcript_ENSUAMT00000026174
OG0002114	ENST00000326427.10	transcript_ENSUAMT00000002406
OG0002115	ENST00000411486.6	transcript_ENSUAMT00000040973, transcript_ENSUAMT00000040975
OG0002116	ENST00000392011.6	transcript_ENSUAMT00000035424
OG0002117	ENST00000295550.8	transcript_ENSUAMT00000014700
OG0002118	ENST00000316997.8	transcript_ENSUAMT00000010494
OG0002119	ENST00000272930.8, ENST00000449191.1	transcript_ENSUAMT00000010500
OG0002120	ENST00000307300.8	transcript_ENSUAMT00000033371
OG0002121	ENST00000407834.3, ENST00000429564.1	transcript_ENSUAMT00000022578
OG0002122	ENST00000391975.5	transcript_ENSUAMT00000026209
OG0002123	ENST00000400314.5	transcript_ENSUAMT00000008488
OG0002124	ENST00000562212.5	transcript_ENSUAMT00000026933
OG0002125	ENST00000417912.6	transcript_ENSUAMT00000023359
OG0002126	ENST00000423113.5	transcript_ENSUAMT00000011238
OG0002127	ENST00000390015.7	transcript_ENSUAMT00000040304
OG0002128	ENST00000296509.10	transcript_ENSUAMT00000021439
OG0002129	ENST00000600377.1	transcript_ENSUAMT00000009451
OG0002130	ENST00000321582.9	transcript_ENSUAMT00000024189
OG0002131	ENST00000520552.5	transcript_ENSUAMT00000023956
OG0002132	ENST00000382477.6	transcript_ENSUAMT00000003194
OG0002133	ENST00000295633.7	transcript_ENSUAMT00000005033
OG0002134	ENST00000237530.10	transcript_ENSUAMT00000033627
OG0002135	ENST00000358901.10	transcript_ENSUAMT00000035370
OG0002136	ENST00000311268.7	transcript_ENSUAMT00000039372
OG0002138	ENST00000300738.9	transcript_ENSUAMT00000023449
OG0002139	ENST00000540096.2, ENST00000248211.10	transcript_ENSUAMT00000010065
OG0002140	ENST00000537262.1, ENST00000428960.3	transcript_ENSUAMT00000013220
OG0002141	ENST00000238156.7	transcript_ENSUAMT00000034513
OG0002142	ENST00000280557.10	transcript_ENSUAMT00000004533, transcript_ENSUAMT00000015624
OG0002143	ENST00000328880.5, ENST00000528880.2	transcript_ENSUAMT00000004530
OG0002144	ENST00000267199.8, ENST00000535844.1	transcript_ENSUAMT00000011884
OG0002145	ENST00000538010.5	transcript_ENSUAMT00000011915, transcript_ENSUAMT00000023574
OG0002146	ENST00000541212.5, ENST00000546333.1	transcript_ENSUAMT00000011930
OG0002147	ENST00000620084.4	transcript_ENSUAMT00000015299
OG0002148	ENST00000445409.6	transcript_ENSUAMT00000041750
OG0002149	ENST00000257549.8	transcript_ENSUAMT00000041730
OG0002150	ENST00000335209.11	transcript_ENSUAMT00000008451
OG0002151	ENST00000397558.6	transcript_ENSUAMT00000008915
OG0002152	ENST00000551806.1, ENST00000551765.5	transcript_ENSUAMT00000021936
OG0002153	ENST00000288532.10	transcript_ENSUAMT00000021953
OG0002154	ENST00000318348.8	transcript_ENSUAMT00000040877
OG0002155	ENST00000406955.5	transcript_ENSUAMT00000009040, transcript_ENSUAMT00000009036
OG0002156	ENST00000266263.9, ENST00000439838.5	transcript_ENSUAMT00000009022
OG0002157	ENST00000405659.5	transcript_ENSUAMT00000008893, transcript_ENSUAMT00000008898
OG0002158	ENST00000407689.7	transcript_ENSUAMT00000008885
OG0002159	ENST00000616432.4	transcript_ENSUAMT00000004256, transcript_ENSUAMT00000017128
OG0002160	ENST00000216085.11	transcript_ENSUAMT00000017662
OG0002161	ENST00000611155.4	transcript_ENSUAMT00000017700
OG0002163	ENST00000591325.1, ENST00000621650.1	transcript_ENSUAMT00000027921
OG0002165	ENST00000321039.4	transcript_ENSUAMT00000016303
OG0002166	ENST00000196489.3, ENST00000597850.1	transcript_ENSUAMT00000002821
OG0002167	ENST00000424930.6, ENST00000282292.8	transcript_ENSUAMT00000016300
OG0002168	ENST00000343280.8	transcript_ENSUAMT00000016295
OG0002170	ENST00000301318.7	transcript_ENSUAMT00000036900
OG0002171	ENST00000411543.6	transcript_ENSUAMT00000028517
OG0002172	ENST00000587871.1, ENST00000527223.6	transcript_ENSUAMT00000025107
OG0002173	ENST00000310373.7	transcript_ENSUAMT00000025133
OG0002174	ENST00000391742.6, ENST00000301202.6	transcript_ENSUAMT00000013230
OG0002177	ENST00000327428.9	transcript_ENSUAMT00000023172
OG0002178	ENST00000341702.3	transcript_ENSUAMT00000015484
OG0002180	ENST00000291715.5	transcript_ENSUAMT00000026099
OG0002181	ENST00000250366.6, ENST00000594211.1	transcript_ENSUAMT00000031906
OG0002182	ENST00000595883.5, ENST00000599632.1	transcript_ENSUAMT00000019800
OG0002183	ENST00000601291.5	transcript_ENSUAMT00000009939, transcript_ENSUAMT00000028580
OG0002184	ENST00000599536.1, ENST00000293350.8	transcript_ENSUAMT00000011409
OG0002185	ENST00000598441.5	transcript_ENSUAMT00000022914
OG0002186	ENST00000599795.5, ENST00000593537.1	transcript_ENSUAMT00000000721
OG0002187	ENST00000222002.3, ENST00000201586.6	transcript_ENSUAMT00000014863
OG0002188	ENST00000221996.11, ENST00000334384.3	transcript_ENSUAMT00000006911
OG0002189	ENST00000270225.11	transcript_ENSUAMT00000032093
OG0002190	ENST00000253047.6	transcript_ENSUAMT00000037762
OG0002191	ENST00000602212.5	transcript_ENSUAMT00000008803, transcript_ENSUAMT00000037761
OG0002192	ENST00000414155.5	transcript_ENSUAMT00000005012
OG0002193	ENST00000593999.1, ENST00000270223.6	transcript_ENSUAMT00000032203
OG0002194	ENST00000391945.8	transcript_ENSUAMT00000029010
OG0002195	ENST00000262891.8	transcript_ENSUAMT00000027889, transcript_ENSUAMT00000021009
OG0002196	ENST00000589057.5, ENST00000252490.5	transcript_ENSUAMT00000006188
OG0002197	ENST00000592885.5	transcript_ENSUAMT00000034105, transcript_ENSUAMT00000007308
OG0002198	ENST00000405636.6	transcript_ENSUAMT00000034113
OG0002199	ENST00000252483.9	transcript_ENSUAMT00000034125
OG0002200	ENST00000337401.8, ENST00000588212.1	transcript_ENSUAMT00000021152
OG0002202	ENST00000587539.1	transcript_ENSUAMT00000004384, transcript_ENSUAMT00000004665
OG0002203	ENST00000595337.5	transcript_ENSUAMT00000016476
OG0002204	ENST00000262887.9, ENST00000594374.1	transcript_ENSUAMT00000014687
OG0002205	ENST00000540732.3, ENST00000457836.6	transcript_ENSUAMT00000014021
OG0002206	ENST00000600729.1, ENST00000594436.5	transcript_ENSUAMT00000016063
OG0002208	ENST00000331982.5, ENST00000613087.4	transcript_ENSUAMT00000003202
OG0002209	ENST00000599996.1, ENST00000600042.5	transcript_ENSUAMT00000016182
OG0002210	ENST00000221419.9	transcript_ENSUAMT00000006274
OG0002211	ENST00000215071.8	transcript_ENSUAMT00000019736
OG0002212	ENST00000324411.8	transcript_ENSUAMT00000026518
OG0002213	ENST00000328550.6	transcript_ENSUAMT00000040428, transcript_ENSUAMT00000038387
OG0002214	ENST00000392170.6	transcript_ENSUAMT00000012166, transcript_ENSUAMT00000012168
OG0002215	ENST00000379026.6	transcript_ENSUAMT00000029859, transcript_ENSUAMT00000029860
OG0002216	ENST00000222284.9	transcript_ENSUAMT00000029887, transcript_ENSUAMT00000035216
OG0002217	ENST00000599180.2	transcript_ENSUAMT00000029898
OG0002218	ENST00000327809.4, ENST00000454971.2	transcript_ENSUAMT00000029901
OG0002219	ENST00000392213.7	transcript_ENSUAMT00000029922, transcript_ENSUAMT00000021782
OG0002220	ENST00000392232.7, ENST00000627982.2	transcript_ENSUAMT00000019438
OG0002221	ENST00000246535.3, ENST00000592740.5	transcript_ENSUAMT00000024599
OG0002222	ENST00000244137.11	transcript_ENSUAMT00000010490
OG0002223	ENST00000355537.3	transcript_ENSUAMT00000032866
OG0002224	ENST00000392278.2	transcript_ENSUAMT00000020599, transcript_ENSUAMT00000009908
OG0002225	ENST00000304863.5	transcript_ENSUAMT00000034484
OG0002226	ENST00000565112.1	transcript_ENSUAMT00000012564
OG0002227	ENST00000561648.5	transcript_ENSUAMT00000034314, transcript_ENSUAMT00000001703
OG0002228	ENST00000299192.7	transcript_ENSUAMT00000036122, transcript_ENSUAMT00000036126
OG0002229	ENST00000300245.8	transcript_ENSUAMT00000017774
OG0002230	ENST00000219207.9	transcript_ENSUAMT00000024327, transcript_ENSUAMT00000020547
OG0002231	ENST00000394391.8	transcript_ENSUAMT00000014339, transcript_ENSUAMT00000003256
OG0002232	ENST00000251102.12	transcript_ENSUAMT00000023967
OG0002233	ENST00000262498.7	transcript_ENSUAMT00000023926
OG0002234	ENST00000245206.9	transcript_ENSUAMT00000012724
OG0002235	ENST00000451102.6, ENST00000561728.1	transcript_ENSUAMT00000009097
OG0002236	ENST00000258200.7, ENST00000580114.5	transcript_ENSUAMT00000022221
OG0002237	ENST00000393992.5	transcript_ENSUAMT00000022504
OG0002238	ENST00000326152.5	transcript_ENSUAMT00000022545, transcript_ENSUAMT00000022547
OG0002239	ENST00000358514.8, ENST00000573493.1	transcript_ENSUAMT00000029880
OG0002240	ENST00000574912.1	transcript_ENSUAMT00000022861
OG0002241	ENST00000565263.5	transcript_ENSUAMT00000022854
OG0002242	ENST00000288025.3, ENST00000564737.1	transcript_ENSUAMT00000032857
OG0002243	ENST00000627621.2	transcript_ENSUAMT00000020133, transcript_ENSUAMT00000041373
OG0002244	ENST00000268482.7	transcript_ENSUAMT00000029590
OG0002245	ENST00000357763.8, ENST00000540303.6	transcript_ENSUAMT00000029404
OG0002247	ENST00000567194.5, ENST00000561878.1	transcript_ENSUAMT00000024981
OG0002248	ENST00000568377.5, ENST00000460606.1	transcript_ENSUAMT00000024966
OG0002249	ENST00000037243.6	transcript_ENSUAMT00000024964
OG0002250	ENST00000570195.5	transcript_ENSUAMT00000008771, transcript_ENSUAMT00000006285
OG0002251	ENST00000262430.5, ENST00000561562.5	transcript_ENSUAMT00000007787
OG0002252	ENST00000305202.8	transcript_ENSUAMT00000006902
OG0002253	ENST00000268638.9	transcript_ENSUAMT00000036006, transcript_ENSUAMT00000036005
OG0002254	ENST00000568879.1, ENST00000567970.1	transcript_ENSUAMT00000022176
OG0002255	ENST00000269143.7	transcript_ENSUAMT00000031580
OG0002257	ENST00000296682.3, ENST00000449207.6	transcript_ENSUAMT00000022166
OG0002258	ENST00000218388.8	transcript_ENSUAMT00000000502
OG0002259	ENST00000400522.8	transcript_ENSUAMT00000034076
OG0002260	ENST00000295897.8	transcript_ENSUAMT00000009330
OG0002261	ENST00000445895.2	transcript_ENSUAMT00000007561
OG0002262	ENST00000255688.7	transcript_ENSUAMT00000007105
OG0002263	ENST00000610854.1	transcript_ENSUAMT00000012403
OG0002264	ENST00000381883.3	transcript_ENSUAMT00000012392
OG0002265	ENST00000267205.6	transcript_ENSUAMT00000011959, transcript_ENSUAMT00000011961
OG0002266	ENST00000491431.1	transcript_ENSUAMT00000021299
OG0002267	ENST00000512478.2	transcript_ENSUAMT00000015162
OG0002268	ENST00000336812.4	transcript_ENSUAMT00000029714
OG0002269	ENST00000474315.5	transcript_ENSUAMT00000007814
OG0002270	ENST00000375499.7	transcript_ENSUAMT00000035724
OG0002271	ENST00000023939.8	transcript_ENSUAMT00000024986
OG0002272	ENST00000296503.9	transcript_ENSUAMT00000040279
OG0002273	ENST00000379245.8	transcript_ENSUAMT00000021368
OG0002274	ENST00000399012.6_PAR_Y, ENST00000399012.6	transcript_ENSUAMT00000027055
OG0002275	ENST00000381566.6_PAR_Y, ENST00000381566.6	transcript_ENSUAMT00000016760
OG0002276	ENST00000417535.7_PAR_Y, ENST00000417535.7	transcript_ENSUAMT00000016755
OG0002277	ENST00000381317.8, ENST00000381317.8_PAR_Y	transcript_ENSUAMT00000027085
OG0002279	ENST00000334651.10_PAR_Y, ENST00000334651.10	transcript_ENSUAMT00000024457
OG0002280	ENST00000381222.8_PAR_Y, ENST00000381222.8	transcript_ENSUAMT00000024458
OG0002281	ENST00000449611.6, ENST00000449611.6_PAR_Y	transcript_ENSUAMT00000024461
OG0002282	ENST00000391338.2, ENST00000307771.7	transcript_ENSUAMT00000023646
OG0002283	ENST00000379270.4	transcript_ENSUAMT00000030632
OG0002284	ENST00000379226.8	transcript_ENSUAMT00000030634, transcript_ENSUAMT00000012456
OG0002286	ENST00000327877.9	transcript_ENSUAMT00000031596
OG0002287	ENST00000378045.4	transcript_ENSUAMT00000013481
OG0002288	ENST00000276062.8	transcript_ENSUAMT00000038074
OG0002289	ENST00000396965.5	transcript_ENSUAMT00000028304, transcript_ENSUAMT00000028303
OG0002290	ENST00000304355.9, ENST00000304270.5	transcript_ENSUAMT00000028302
OG0002291	ENST00000348411.2	transcript_ENSUAMT00000018733
OG0002292	ENST00000376227.3	transcript_ENSUAMT00000032447
OG0002293	ENST00000375053.6	transcript_ENSUAMT00000022451, transcript_ENSUAMT00000015802
OG0002294	ENST00000342972.2	transcript_ENSUAMT00000006343
OG0002295	ENST00000375859.3	transcript_ENSUAMT00000000539
OG0002296	ENST00000583666.2, ENST00000342206.10	transcript_ENSUAMT00000022072
OG0002297	ENST00000435029.5, ENST00000374403.3	transcript_ENSUAMT00000027776
OG0002298	ENST00000373988.5	transcript_ENSUAMT00000010983
OG0002299	ENST00000276079.12	transcript_ENSUAMT00000011205
OG0002300	ENST00000242310.4, ENST00000423759.5	transcript_ENSUAMT00000026630
OG0002302	ENST00000373517.3, ENST00000373518.1	transcript_ENSUAMT00000025238
OG0002303	ENST00000361470.3, ENST00000373359.3	transcript_ENSUAMT00000000743
OG0002304	ENST00000481445.1	transcript_ENSUAMT00000002631
OG0002305	ENST00000373200.4	transcript_ENSUAMT00000041066
OG0002306	ENST00000396355.5	transcript_ENSUAMT00000021145
OG0002307	ENST00000321217.4, ENST00000283891.5	transcript_ENSUAMT00000032516
OG0002308	ENST00000372695.5	transcript_ENSUAMT00000011372, transcript_ENSUAMT00000011370
OG0002309	ENST00000332431.4	transcript_ENSUAMT00000011385
OG0002310	ENST00000357242.9	transcript_ENSUAMT00000006509, transcript_ENSUAMT00000024912
OG0002311	ENST00000372129.3, ENST00000563887.1	transcript_ENSUAMT00000003814
OG0002312	ENST00000267291.6, ENST00000371442.3	transcript_ENSUAMT00000035810
OG0002313	ENST00000475092.3, ENST00000304661.5	transcript_ENSUAMT00000010178
OG0002314	ENST00000434753.7, ENST00000426466.2	transcript_ENSUAMT00000003595
OG0002316	ENST00000481105.5	transcript_ENSUAMT00000020491, transcript_ENSUAMT00000019380
OG0002317	ENST00000339249.4	transcript_ENSUAMT00000001406
OG0002319	ENST00000422081.6, ENST00000340855.10	transcript_ENSUAMT00000018356
OG0002320	ENST00000598963.2, ENST00000370416.4	transcript_ENSUAMT00000026860
OG0002321	ENST00000370406.7, ENST00000450602.6	transcript_ENSUAMT00000020334
OG0002322	ENST00000370396.6	transcript_ENSUAMT00000020402, transcript_ENSUAMT00000022469
OG0002323	ENST00000393700.7	transcript_ENSUAMT00000010770, transcript_ENSUAMT00000006880
OG0002324	ENST00000601016.5	transcript_ENSUAMT00000029593
OG0002325	ENST00000357360.4	transcript_ENSUAMT00000017196, transcript_ENSUAMT00000016034
OG0002326	ENST00000369620.6	transcript_ENSUAMT00000016082
OG0002327	ENST00000302805.7, ENST00000302805.7_PAR_Y	transcript_ENSUAMT00000022299
OG0002328	ENST00000262640.11_PAR_Y, ENST00000262640.11	transcript_ENSUAMT00000040647
OG0002329	ENST00000259486.10	transcript_ENSUAMT00000023306
OG0002330	ENST00000372622.7	transcript_ENSUAMT00000014264
OG0002332	ENST00000306011.4	transcript_ENSUAMT00000021304
OG0002333	ENST00000236826.7	transcript_ENSUAMT00000023607
OG0002334	ENST00000368026.10	transcript_ENSUAMT00000037298
OG0002335	ENST00000256495.3	transcript_ENSUAMT00000006948
OG0002336	ENST00000592860.2	transcript_ENSUAMT00000007411
OG0002337	ENST00000338128.12	transcript_ENSUAMT00000022923
OG0002338	ENST00000250495.9	transcript_ENSUAMT00000035559
OG0002339	ENST00000355413.8	transcript_ENSUAMT00000029845
OG0002340	ENST00000300060.6	transcript_ENSUAMT00000011315
OG0002341	ENST00000321765.9	transcript_ENSUAMT00000020455
